Date,Close,High,Low,Open,Volume
1/2/2020,1524.5,1528.699951,1518,1518.099976,214
1/3/2020,1549.199951,1552.699951,1530.099976,1530.099976,107
1/6/2020,1566.199951,1580,1560.400024,1580,416
1/7/2020,1571.800049,1576.300049,1558.300049,1558.300049,47
1/8/2020,1557.400024,1604.199951,1552.300049,1579.699951,236
1/9/2020,1551.699951,1555.699951,1543.300049,1555.699951,54
1/10/2020,1557.5,1558.800049,1545.400024,1551.199951,16
1/13/2020,1548.400024,1558,1548.400024,1557.400024,48
1/14/2020,1542.400024,1546.699951,1534.900024,1546.699951,32
1/15/2020,1552.099976,1553.900024,1545.599976,1548,11
1/16/2020,1549,1556.099976,1548.5,1555.699951,98
1/17/2020,1558.800049,1558.800049,1553.599976,1554.099976,108
1/21/2020,1556.400024,1566.199951,1551,1559.300049,45
1/22/2020,1555.300049,1557.099976,1549.800049,1549.800049,42
1/23/2020,1564.599976,1564.599976,1552.199951,1553.099976,15
1/24/2020,1571.099976,1571.099976,1556.300049,1556.300049,43
1/27/2020,1576.800049,1584.5,1576.800049,1584.300049,22
1/28/2020,1569.199951,1576.400024,1569.199951,1576.400024,3
1/29/2020,1569.800049,1569.800049,1569.800049,1569.800049,251274
1/30/2020,1583.5,1585,1571.400024,1576.800049,62336
1/31/2020,1582.900024,1589,1570,1573.400024,1095
2/3/2020,1577.199951,1593.300049,1568.199951,1592.900024,1062
2/4/2020,1550.400024,1577.699951,1547.800049,1577.699951,978
2/5/2020,1557.800049,1560.699951,1547.699951,1553.199951,1305
2/6/2020,1565.099976,1565.599976,1551.599976,1553.599976,110
2/7/2020,1568.599976,1571.900024,1560.5,1564.900024,431
2/10/2020,1574.699951,1574.699951,1568.599976,1569.300049,128
2/11/2020,1565.599976,1571.099976,1561.900024,1570.900024,440
2/12/2020,1567.400024,1568.699951,1561,1565.199951,36
2/13/2020,1575.099976,1575.099976,1570.199951,1570.199951,74
2/14/2020,1582.699951,1582.699951,1574.800049,1575.800049,68
2/18/2020,1600,1604.300049,1579.800049,1579.800049,310
2/19/2020,1607.5,1610.5,1599.699951,1600.599976,542
2/20/2020,1616.599976,1621,1603,1606.5,117
2/21/2020,1644.599976,1645,1619.300049,1619.300049,186
2/24/2020,1672.400024,1686.599976,1650,1657,435
